2017-02-17 23:29:01 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
2017-02-17 23:41:56 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
2017-02-18 0:39:08 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
2017-02-18 15:29:00 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
2017-02-18 15:36:45 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
2017-02-18 15:37:12 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
2017-02-18 15:37:31 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
2017-02-18 20:46:39 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
2017-02-18 20:47:07 - PHP Warning:  imagecreatetruecolor(): Invalid image dimensions in G:\garage_shop\upload\system\library\image.php on line 105
2017-02-18 20:47:07 - PHP Warning:  imagecolorallocate() expects parameter 1 to be resource, boolean given in G:\garage_shop\upload\system\library\image.php on line 113
2017-02-18 20:47:07 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, boolean given in G:\garage_shop\upload\system\library\image.php on line 116
2017-02-18 20:47:07 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, boolean given in G:\garage_shop\upload\system\library\image.php on line 118
2017-02-18 20:47:07 - PHP Warning:  imagecreatetruecolor(): Invalid image dimensions in G:\garage_shop\upload\system\library\image.php on line 105
2017-02-18 20:47:07 - PHP Warning:  imagecolorallocate() expects parameter 1 to be resource, boolean given in G:\garage_shop\upload\system\library\image.php on line 113
2017-02-18 20:47:07 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, boolean given in G:\garage_shop\upload\system\library\image.php on line 116
2017-02-18 20:47:07 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, boolean given in G:\garage_shop\upload\system\library\image.php on line 118
2017-02-18 20:47:07 - PHP Warning:  imagecreatetruecolor(): Invalid image dimensions in G:\garage_shop\upload\system\library\image.php on line 105
2017-02-18 20:47:07 - PHP Warning:  imagecolorallocate() expects parameter 1 to be resource, boolean given in G:\garage_shop\upload\system\library\image.php on line 113
2017-02-18 20:47:07 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, boolean given in G:\garage_shop\upload\system\library\image.php on line 116
2017-02-18 20:47:07 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, boolean given in G:\garage_shop\upload\system\library\image.php on line 118
2017-02-18 20:47:07 - PHP Warning:  imagecreatetruecolor(): Invalid image dimensions in G:\garage_shop\upload\system\library\image.php on line 105
2017-02-18 20:47:07 - PHP Warning:  imagecolorallocate() expects parameter 1 to be resource, boolean given in G:\garage_shop\upload\system\library\image.php on line 113
2017-02-18 20:47:07 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, boolean given in G:\garage_shop\upload\system\library\image.php on line 116
2017-02-18 20:47:07 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, boolean given in G:\garage_shop\upload\system\library\image.php on line 118
2017-02-18 20:47:15 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
2017-02-18 20:47:24 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
2017-02-18 20:47:33 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
2017-02-18 20:47:41 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
2017-02-18 20:47:50 - PHP Notice:  Undefined variable: wss_modify_theme_css_temp in G:\garage_shop\upload\catalog\view\theme\free-fjord-cars-audio-lemon\template\common\header.tpl on line 35
